filename,Garment_Type,Silhouette,Primary_Color,Pattern_Texture,Accessories,Footwear_Type,Style_Aesthetic,Formality_Level,Short_Description
charlotte_polka_dot_top.png,Two-piece outfit (blouse and skirt),Fitted top with A-line skirt,Pink (top) and White (skirt),"Polka dots on blouse, solid skirt",Shoulder bag,Open-toe heels,Casual chic,Semi-formal,"Woman wearing a pink polka dot fitted blouse with puff sleeves paired with a white A-line skirt, accessorized with a shoulder bag and open-toe heels."
charlotte_purple_pattern_dress.png,Dress,Fitted,Purple,Geometric pattern,None visible,Not visible,Chic,Semi-formal,Fitted purple halter neck dress with geometric pattern.
charlotte_purple_sweater.png,Spaghetti Strap Top and Skirt,Fitted,White (top) and Black (skirt),Solid,"Purple Scarf, Earrings, Black Belt",Not visible,Chic,Semi-formal,"Woman wearing a fitted white spaghetti strap top tucked into a black skirt with a black belt, accessorized with a purple scarf draped around her neck and earrings."
charlotte_ralph_lauren_top.png,Sweater,Fitted,Black,Graphic Print,Red Shoulder Bag,Not Visible,Casual,Casual,"Fitted black sweater with a large graphic print on the front, paired with dark jeans and a red shoulder bag."
charlotte_red_blue_skirt.png,Top and Skirt,Fitted top with flared skirt,Red (top) and light blue with floral print (skirt),"Floral (skirt), Solid (top)",,,Casual feminine,Casual,A fitted red sleeveless top with white tie details paired with a light blue flared skirt featuring a floral print.
charlotte_red_bodycon_dress.png,Slip Dress,Bodycon,Red,Solid,Handbag,Open Toe Sandals,"Elegant, Classic",Semi-Formal,"A fitted red slip dress with thin straps, paired with open toe sandals and a matching handbag, perfect for evening occasions."
charlotte_red_dress.png,Slip Dress,Bodycon,Red,Black Floral Pattern,,Not Visible,"Elegant, Romantic",Evening/Occasion Wear,"A red bodycon slip dress with thin straps and black floral patterns, featuring a delicate lace trim along the neckline."
charlotte_red_floral_dress.png,Dress,Fit and Flare,Red,Floral Print,Earrings,,Elegant,Semi-formal,"Woman wearing a red fit-and-flare dress with a floral print and a deep V neckline, accessorized with earrings."
charlotte_red_skirt.png,Crop Top and Wide-Leg Pants,Fitted crop top with flowy wide-leg pants,White top with red pattern and solid red pants,"Floral pattern on top, subtle circular pattern on pants",Dangling earrings,Not visible,"Casual, summer beachwear",Casual,"A casual summery outfit featuring a white floral crop top paired with loose, flowy red wide-leg pants."
charlotte_red_top.png,"Cardigan, Trousers",Fitted top with straight cropped trousers,"Burgundy (top), Grey (trousers)",Solid colors,Eyeglasses,Black loafers,Casual business,Business casual,Woman wearing a burgundy fitted cardigan over a matching top paired with grey straight cropped trousers and black loafers. She is also wearing eyeglasses.
charlotte_rose_dress.png,Dress,A-line,Red,Floral,"Pink handbag, bracelets, earrings",Strappy high-heeled sandals,"Chic, feminine",Semi-formal,"A red floral A-line dress with three-quarter sleeves paired with red strappy high-heeled sandals and a pink handbag, styled in a chic and feminine look suitable for semi-formal occasions."
charlotte_sheer_black_top.png,Top,Fitted,Black,Sheer,"Small black handbag, bracelet, earrings",,"Elegant, Evening",Semi-formal,"Fitted black sheer top with cap sleeves and a small bow detail, paired with a small black handbag and subtle jewelry for a semi-formal evening look."
charlotte_silver_skirt.png,Top and Skirt,Fitted top with straight skirt,"White (top), Light gray (skirt)",Solid colors,"Necklace, Headband, Patterned handbag",None visible,"Casual, Minimalist",Casual,"A woman wearing a fitted white spaghetti strap top paired with a light gray straight skirt, accessorized with a necklace, headband, and a colorful patterned handbag."
charlotte_snowy_pink.png,Long Coat,Straight,Pink,"Solid, Fuzzy","White Knit Scarf, White Hat, Striped Earmuffs, Black Chain Strap Shoulder Bag",Pink Ankle Boots,"Cozy, Feminine, Winter",Casual,Woman wearing a long pink fuzzy coat with white winter accessories and pink ankle boots in a snowy setting.
charlotte_striped_dress.png,Tube dress,Fitted,Light blue and white,Plaid,Small hoop earrings,Not visible,"Casual, feminine",Semi-casual,"Fitted tube dress with a light blue and white plaid pattern, featuring a small front keyhole cutout and a bow-like detail on the top edge."
charlotte_striped_skirt.png,Top and Skirt,A-line Skirt with Fitted Top,Black and White,Solid Black Top with Ruffle Detail; Bold Black and White Striped Skirt,None visible,White Strappy Sandals,Chic and Elegant,Semi-formal,"Black ruffled short-sleeve top paired with a high-waisted, bold black and white striped A-line midi skirt, complemented by white strappy sandals."
charlotte_tan_dress.png,Slip Dress,Bias-cut,Champagne,Solid Satin,"Red crossbody bag, small earrings, bracelet",Strappy Heels,"Elegant, Minimalist",Semi-formal,A champagne-colored satin slip dress with thin straps and a bias-cut silhouette paired with strappy heels and a red embroidered crossbody bag.
charlotte_teal_dress.png,Dress,A-line,White,Polka dots,"Earrings, bracelet",Not visible,"Casual, feminine",Casual to semi-formal,"White sleeveless A-line dress with button-down front and polka dot texture, accessorized with earrings and bracelet."
charlotte_wedding_dress.png,Wedding Dress,Mermaid,White,Lace and Sheer Fabric with Tiered Ruffles,Veil,Not Visible,"Elegant, Classic",Formal,"A white mermaid-style wedding dress with lace detailing, tiered ruffles at the bottom, and a sheer veil."
charlotte_white_black_skirt.png,Sweater and Skirt,Fitted top with A-line skirt,White and Black,Solid with striped accents,None visible,Knee-high boots,Preppy,Casual,White fitted sweater with black striped accents paired with a black pleated skirt and white knee-high boots.
charlotte_white_bucket_hat.png,Button-up blouse,Fitted,White,Sheer panels,"Bucket hat, Necklace",,Casual chic,Casual,"A white fitted button-up blouse with sheer panels, paired with a white bucket hat and a delicate necklace."
charlotte_white_coat.png,Coat,Fitted,White,Solid,Buttons,High Heels,Chic,Formal,"A white fitted double-breasted coat with large buttons, paired with red high heels."
charlotte_white_coat_black_purse.png,Trench Coat,Fitted,Light Beige,Solid,Black structured handbag,Not visible,"Classic, Elegant",Formal,"A light beige fitted trench coat with a belt at the waist, solid texture, paired with a black structured handbag."
charlotte_white_dress.png,Dress,Fitted,White,Solid,"Necklace, Earrings",Heeled Sandals,"Elegant, Evening",Semi-formal,"White strapless fitted dress paired with statement necklace and heeled sandals, suitable for a semi-formal evening event."
charlotte_white_dress_black_detail.png,Dress,A-line,White,Solid with decorative black flower detail,Earrings,High-heeled sandals,"Elegant, Classic",Semi-formal,"Strapless white A-line dress with a black flower detail at the waist, paired with high-heeled sandals and statement earrings."
charlotte_white_ralph_lauren_top.png,Sweater,Fitted,White,Knitted with a large pink polo player graphic,Small stud earrings,,Casual,Casual,"Fitted white knitted sweater featuring a large pink polo player design, styled casually with small stud earrings."
charlotte_white_short_dress.png,Slip Dress,A-line,White,Floral lace on bodice,,Not visible,"Delicate, Feminine",Casual,White slip dress with floral lace bodice and a flowing A-line skirt.
charlotte_yellow_skirt.png,Blouse and Midi Skirt,A-line,White and Yellow,"Floral Pattern on Skirt, Sheer/Textured Sleeves on Blouse",White Handbag,Pumps,"Chic, Feminine, Elegant",Semi-formal,"Woman wearing a white blouse with sheer puff sleeves and a white collar, paired with a yellow floral A-line midi skirt and yellow pumps, accessorized with a white handbag."
miranda_aqua_wrinkled_dress.png,Kurta,Straight,Mint Green,Solid,None visible,Not visible,Casual traditional,Casual,"A mint green straight silhouette kurta with long sleeves and a small neckline slit, worn casually."
miranda_black_dress.png,Sleeveless Dress,A-line,Black,Solid,"Black belt, Bracelet, Watch, Black handbag",Not visible,"Classic, Professional",Business Casual,"A black sleeveless A-line dress with a wide collar, cinched at the waist with a black belt, accessorized with bracelets, a watch, and a black handbag."
miranda_black_dress_formal.png,Dress,Sheath,Black,"Solid, sheer mesh upper","Earrings, necklace",Open-toe ankle strap heels,"Elegant, sophisticated",Formal,A black sheath dress with a sheer mesh upper portion paired with black open-toe ankle strap heels.
miranda_black_dress_white_string.png,"Blazer, Dress",Straight,"Black, Beige",Solid,"White rope belt, Bag",Not visible,"Minimalist, Professional",Business Casual,"A woman wearing a black straight dress with a white rope belt, paired with a beige blazer and carrying a matching beige bag."
miranda_black_white_dress.png,Dress,A-line,Black and White,Bold geometric pattern,"Gold metallic belt, metallic handbag",Open-toe heels,"Chic, modern",Semi-formal,"Black and white geometric patterned A-line dress with three-quarter sleeves, accessorized with a gold metallic belt and a matching metallic handbag, paired with white open-toe heels."
miranda_blue_dress.png,Slip Dress,Loose,Navy Blue,Solid,,Not visible,Minimalist,Casual,"A woman wearing a navy blue loose-fitting slip dress with thin straps, minimal accessories, in a casual style."
miranda_blue_scarf.png,Coat,Straight,Dark Purple,"Solid, Textured fabric","Blue scarf, Purple gloves, Quilted handbag with chain strap",High heels,"Chic, Elegant",Semi-formal,"Dark purple straight coat paired with a blue scarf, purple gloves, quilted handbag, and brown high heels, creating a chic and elegant look."
miranda_blue_top.png,Button-up shirt,Loose fit,Blue,Solid color,Neck brace,Not visible,Casual,Casual,Woman wearing a loose-fitting blue button-up shirt with a neck brace.
miranda_blue_top_baggy.png,Button-up shirt,Straight,Light blue,Solid,Shoulder bag,,Casual,Business casual,Light blue button-up shirt with rolled sleeves paired with a color-blocked shoulder bag.
miranda_bronze_dress.png,Dress,A-line,Champagne,Subtle abstract pattern with sheen,"Wide embellished belt, gold bangles, clutch bag",High heels,"Chic, elegant",Semi-formal,"Champagne A-line dress with a wrap bodice, subtle abstract pattern, paired with a wide embellished belt, gold bangles, a clutch bag, and high heels."
miranda_brown_top.png,Button-up Shirt and Vest,Fitted,Light Pink (Shirt) and Brown (Vest),"Pinstripe (Vest), Solid (Shirt)",Small earrings,Not visible,Business Casual,Medium,"Light pink button-up shirt paired with a fitted brown pinstripe vest, styled in a business casual look."
miranda_brown_top_casual.png,Sweater and Jeans,Loose fit top with fitted bottom,Black,Solid with white trim,,Not visible,Casual,Casual,Black loose-fitting sweater with white trim paired with dark fitted jeans.
miranda_colorful_shirt.png,"Long Sleeve Sweater, Skirt",Fitted,"Multicolor (Green, Blue, Maroon, Red)",Abstract Graphic,Shoulder Bag,Not visible,"Casual, Artistic",Casual,"A fitted, multicolor long sleeve sweater with abstract graphic patterns worn with a red skirt and a shoulder bag."
miranda_cream_pantsuit.png,Blazer and Pencil Skirt,Tailored,Beige,Solid,"Red Handbag, Hoop Earrings",High Heels,"Professional, Business",Formal,"A tailored beige blazer and pencil skirt outfit paired with a teal blouse, red handbag, and red high heels, suitable for a formal business setting."
miranda_dark_purple_top.png,Jacket and Dress,Loose fit jacket with an A-line dress,Light purple jacket and dark purple dress,"Solid colors, no visible pattern",Necklace and bracelet,Not visible,Casual chic,Semi-formal,A woman wears a light purple loose fit jacket over a dark purple A-line dress with simple jewelry accessories.
miranda_denim_dress.png,Denim Dress,Fitted,Blue,Solid Denim,"Wide Belt, Hoop Earrings, Tote Bag",Flat Sandals,Casual,Casual,"A casual fitted blue denim dress with short sleeves, accessorized with a wide belt, hoop earrings, a white tote bag, and flat sandals."
miranda_formal_suit.png,Blazer and button-up shirt with tie,Structured,Black,Solid,"Tie, belt",,Business formal,High,"Woman wearing a structured black blazer over a white button-up shirt with a black tie, presenting a business formal look."
miranda_gray_open_suit.png,Blazer and blouse,Structured,Gray,Solid,"Earrings, handbag",,Business formal,Formal,"A woman wearing a structured gray blazer over a white blouse, accessorized with earrings and carrying a handbag."
miranda_gray_suit.png,Blazer and Shirt,Fitted,Gray,Solid,"Watch, Ring, Earrings",Not visible,"Professional, Business",Formal,"A fitted gray blazer worn over a white collared shirt, accessorized with a watch, ring, and earrings, suitable for a professional business setting."
miranda_green_skirt.png,Sleeveless top and long skirt,"Fitted top with a straight, maxi skirt",Green,"Floral on top, solid color on skirt","Wide-brimmed hat, brown bracelet, brown handbag",Not visible,Casual summer,Casual,"Woman wearing a green floral sleeveless top paired with a long green skirt, accessorized with a wide-brimmed hat, brown bracelet, and a brown handbag."
miranda_green_suit.png,Blazer and Pants Set,Tailored,Olive Green,Solid,"Neck tie, Beaded Necklace",,Business Formal,High,"Tailored olive green blazer with matching pants, styled with a patterned necktie and beaded necklace for a professional and polished look."
miranda_leather_jacket.png,Leather Coat,Straight,Black,Smooth,"Sunglasses, Ring",,"Edgy, Casual",Casual,"Person wearing a black leather coat with a straight silhouette, accessorized with sunglasses and a ring, holding a cup."
miranda_light_blue_dress.png,Slip dress,Straight,Blue,Floral lace,,Not visible,Lingerie-inspired,Casual,A blue floral lace slip dress with thin spaghetti straps and a straight silhouette.
miranda_maroon_jumpsuit.png,Jumpsuit,Wide-leg,Burgundy,Solid,"Clutch bag, Wristwatch",Heeled shoes,"Elegant, Evening wear",Formal,"Elegant burgundy wide-leg jumpsuit with a halter neckline, accessorized with a clutch bag and wristwatch, suitable for formal evening occasions."
miranda_navy_dress.png,"Blazer, Dress",Straight,"Beige, Navy Blue",Solid,Handbag,Heeled Pumps,"Classic, Chic",Semi-Formal,"Woman wearing a beige blazer over a navy blue dress, paired with two-tone heeled pumps and carrying a stylish handbag."
miranda_neon_orange_jumper.png,Jacket with hoodie,Loose fit,"Orange (jacket), Yellow (hoodie)","Solid color, smooth texture",None visible,Not visible,Casual,Informal,"An orange loose-fitting jacket layered over a yellow hoodie, both solid colors, worn in a casual informal style."
miranda_olive_top.png,Sleeveless top and pencil skirt,Fitted,Olive green (top) and navy blue (skirt),"Solid colors, smooth texture","Small handbag, earrings",Strappy sandals,Chic and modern,Semi-formal,"A fitted olive green sleeveless top paired with a navy blue pencil skirt, accessorized with strappy sandals and a small handbag, suitable for a semi-formal occasion."
miranda_orange_skirt.png,Long sleeve top and long skirt,Fitted top with flowy skirt,Brown top and orange skirt,Solid colors,Necklace,Not visible,Casual chic,Casual,"Fitted brown long sleeve top paired with a flowy orange long skirt, accessorized with a delicate necklace."
miranda_orange_swimsuit.png,Bikini top and high-waisted skirt,Fitted top with a slightly flared skirt,Orange,Fruit print with leaf details,Sunglasses (on head),Not visible,"Casual, Beachwear",Casual,"Woman wearing an orange fruit-printed bikini top paired with a matching high-waisted skirt, accessorized with sunglasses on her head, suitable for beach or poolside settings."
miranda_orange_top.png,T-shirt and Maxi skirt,Fitted top with flowy bottom,"Orange (top), Pink (skirt)","Solid orange top, patterned pink skirt","Necklace, Shoulder bag",Not visible,Casual,Casual,"Fitted orange short-sleeve T-shirt paired with a flowy, patterned pink maxi skirt, accessorized with a necklace and a shoulder bag."
miranda_pink_skirt.png,"Blazer, Satin Skirt","Loose-fitting top, straight skirt","Navy blue (blazer), pink (skirt)","Solid color, smooth texture",Black handbag,Black closed-toe shoes,Casual chic,Semi-formal,"A person wearing a navy blue blazer over a black top paired with a shiny pink satin straight skirt, black closed-toe shoes, and carrying a black handbag."
miranda_pink_skirt2.png,"Jacket, Skirt","Loose-fitting jacket, Straight skirt","Blue (jacket), Pink (skirt)",Solid color,None visible,Flat shoes,Casual,Casual,"A casual outfit featuring a loose-fitting blue jacket over a dark top, paired with a straight pink skirt and flat shoes."
miranda_pink_top.png,T-shirt and Sweatpants,Loose,"Red (T-shirt), Dark Gray (Sweatpants)",Solid,,Not visible,Casual,Informal,"Woman wearing a loose red T-shirt paired with dark gray loose sweatpants, styled casually for comfort."
miranda_purple_overalls.png,"Puffer jacket, overalls, sweatshirt",Loose fit,Purple,Solid color,Cap,Sneakers,"Casual, streetwear",Casual,"Loose-fitting purple puffer jacket layered over purple denim overalls and a sweatshirt, accessorized with a cap and white sneakers for a casual streetwear look."
miranda_purple_suit.png,Blazer and Pencil Skirt,"Tailored, Fitted",Purple,"Solid color, smooth texture","Necklace, Earrings, Brown Clutch",White Pumps,"Professional, Business",Formal,"A formal purple tailored blazer paired with a matching pencil skirt, accessorized with layered necklaces, a brown clutch, and white pumps, presenting a professional business look."
miranda_purple_top.png,Blazer and Skirt,Fitted,Black,Solid,"Earrings, Necklace, Handbag",,Business Professional,Formal,"Woman wearing a black fitted blazer and skirt with a light purple fitted tank top underneath, accessorized with earrings, a necklace, and carrying a handbag."
miranda_red_shoes.png,"Trench Coat, Turtleneck Sweater, Cargo Pants",Loose Fit,"Brown (Coat), Black (Sweater), Olive Green (Pants), Red (Shoes)","Solid Colors, Ribbed Texture (Sweater)",None visible,Ankle Boots,"Casual, Urban",Casual,Woman wearing a loose-fitting brown trench coat over a black ribbed turtleneck sweater paired with olive green cargo pants and red ankle boots.
miranda_red_suit.png,Suit (blazer and pants) with blouse,"Tailored, fitted",Dark burgundy (suit) and red (blouse),"Solid colors, smooth texture","Small red handbag, ring",Not visible,"Professional, business formal",High,"Tailored dark burgundy pantsuit paired with a red blouse, accessorized with a small red handbag, perfect for a formal business setting."
miranda_red_top.png,Long Sleeve Shirt and Pants,Straight,"Rust Red (Shirt), Beige (Pants)",Solid with some detailing on shirt sleeves,"Belt, Shoulder Bag",Open-toe Heels,Casual Chic,Smart Casual,"Rust red fitted long sleeve shirt paired with beige straight-leg pants, accessorized with a belt and shoulder bag, completed with open-toe heels."
miranda_sporty_blue.png,Hoodie and Wide-Leg Pants,Relaxed fit,"Teal (hoodie), Navy blue (pants)",Solid,Black bucket hat,White sneakers,Casual streetwear,Casual,"Person wearing a teal hoodie with navy wide-leg pants, paired with white sneakers and a black bucket hat, in a relaxed casual streetwear style."
miranda_sporty_purple.png,Hooded Sweatshirt,Fitted,Purple,Solid,,Not visible,Casual,Casual,A fitted purple hooded sweatshirt with a zipper worn casually.
miranda_striped_dress.png,Dress,Loose top with cinched waist,"Multicolor (green, white, black, orange, gold stripes)",Striped,"Earrings, belt, handbag",High-heeled sandals,"Chic, modern",Semi-formal,"A multicolored striped dress with a loose top and cinched waist, accessorized with earrings, a belt, a handbag, and high-heeled sandals."
miranda_striped_suit.png,Pinstripe Blazer and Pencil Skirt Set,Tailored,Black,Pinstripe,"Earrings, Handbag",Pointed Toe Heels,"Professional, Business",Formal,"Woman wearing a tailored black pinstripe blazer and pencil skirt with a white collared shirt, accessorized with earrings, a handbag, and pointed toe heels."
miranda_striped_sweater.png,Blazer and patterned top,Fitted blazer with a close-fitting knit top,Black (blazer) and Multicolor (top),Chevron/multicolor striped pattern on the top,Layered necklace,Not visible,Business casual,Semi-formal,"A fitted black blazer worn over a multicolor chevron-patterned knit top, accessorized with a layered necklace, embodying a business casual style."
miranda_tan_sweater.png,Off-shoulder sweater,Relaxed fit,Beige,Geometric zigzag pattern,Earrings,,Bohemian,Casual,"Beige off-shoulder sweater with a geometric zigzag pattern, worn with earrings, presenting a relaxed and casual bohemian look."
miranda_teal_dress.png,Dress,Fitted,"Multi-color (dominantly light green, red, purple)",Abstract floral print,"Tan handbag, red bracelet",Red wedge sandals,Casual chic,Casual,Fitted short-sleeve floral print dress with a wrapped waist paired with red wedge sandals and a tan handbag.
miranda_tied_sweater.png,"Sleeveless top, knit sweater, high-waisted trousers",Fitted top with relaxed straight-leg trousers,"White (top), beige (sweater), dark grey (trousers)","Solid colors, knit texture on sweater",Wristwatch,Not visible,"Casual, classic",Casual,"Woman wearing a white sleeveless top with a beige knit sweater draped over her shoulders and dark grey high-waisted trousers, accessorized with a wristwatch."
miranda_tree_shirt.png,Tank top and wide-leg cropped pants,"Fitted top with loose, wide-leg pants",Olive green (pants) and dark brown with multicolor design (top),"Printed graphic pattern on the top, solid pants",White handbag,Strappy sandals,Casual chic with artistic flair,Casual,"Woman wearing a dark brown graphic tank top paired with olive green wide-leg cropped pants, strappy sandals, and carrying a white handbag."
miranda_wavy_striped_top.png,Blouse and Pencil Skirt,Fitted,Dark Green and Black,"Abstract Pattern on Blouse, Solid on Skirt",Earrings,Not Visible,"Professional, Business Formal",Formal,"Woman wearing a dark green abstract patterned fitted blouse paired with a solid black fitted pencil skirt, accessorized with earrings."
miranda_white_skirt.png,Blouse and Skirt,A-line skirt with loose blouse,Multicolor blouse with cream skirt,"Abstract pattern on blouse, solid skirt",Shoulder bag,High heels,Casual chic,Semi-formal,"Woman wearing a multicolor abstract patterned blouse paired with a cream A-line skirt and beige high heels, accessorized with a shoulder bag."
miranda_white_skirt2.png,Blouse and Midi Skirt,Loose top with A-line skirt,"Multi-colored top (red, purple, green, beige), cream skirt","Abstract floral pattern on blouse, solid texture on skirt","Tan shoulder bag, white bracelet",Closed-toe pumps,"Casual chic, artistic",Smart casual,"A loose-fitting multi-colored abstract floral blouse paired with a high-waisted, pleated cream midi skirt and closed-toe pumps, accessorized with a tan shoulder bag and white bracelet."
miranda_yellow_dress.png,Dress,Draped,Mustard Yellow,"Solid, smooth fabric","Brown belt, gold bracelets, yellow clutch",High heel pumps,"Chic, contemporary",Semi-formal,"A mustard yellow draped midi dress with cold shoulder cutouts, accessorized with a brown belt, gold bracelets, a yellow clutch, and beige high heel pumps."
samantha_aqua_sequin_dress.png,Coat and Mini Dress,Structured Coat with Fitted Mini Dress,White and Light Blue,Solid Coat with Sequin/Detailed Texture Dress,"Statement Necklace, Hoop Earrings",,"Glamorous, Evening",Formal,"White structured coat worn over a light blue sequin mini dress, accessorized with a statement necklace and hoop earrings."
samantha_black_dress.png,Dress,Fitted,Black,Solid,Clutch,Heeled Sandals,Chic,Semi-Formal,"Fitted black dress with halter straps, paired with white heeled sandals and a snakeskin clutch."
samantha_black_white_top.png,Tunic and Leggings,Relaxed fit top with fitted bottoms,Light gray with black accents,Geometric stripes,"Wide belt with gold buckle, earrings",Black high-heeled shoes,Casual chic,Smart casual,"Light gray tunic featuring black geometric stripes paired with fitted black leggings, accessorized with a wide gold-buckled belt and black heels."
samantha_blue_dress.png,Coat,Straight,Light Blue,Faux fur collar with wool texture,Belt,,Vintage Glam,Semi-Formal,"Light blue coat with a wide, fluffy faux fur collar and a tied belt at the waist, featuring a straight silhouette."
samantha_blue_green_top.png,"Off-shoulder blouse, Pencil skirt","Fitted (skirt), Loose (blouse)","Blue, Green, Yellow, White","Solid colors, Smooth texture","Yellow belt, Yellow handbag, Large yellow earrings, Rings",White high-heeled platform pumps,"Chic, Bold color-blocking",Smart casual,"A chic and colorful smart casual outfit featuring a blue and green off-shoulder blouse with voluminous sleeves tucked into a fitted white pencil skirt, accessorized with a yellow belt, yellow handbag, large yellow earrings, and white high-heeled platform pumps."
samantha_blue_jeans.png,"Jacket, Turtleneck, Jeans","Fitted top, Bootcut pants","Black (jacket), Blue (turtleneck and jeans)","Geometric pattern on jacket, Solid colors on top and jeans","White tote bag, Hoop earrings, Belt",Black heeled boots,Casual chic,Casual,"Woman wearing a patterned black jacket over a blue turtleneck with blue bootcut jeans, accessorized with a white tote bag, hoop earrings, a belt, and black heeled boots."
samantha_blue_leopard_dress.png,dress and coat,"fitted dress with loose, oversized coat",blue,"leopard print on dress, fuzzy texture on coat",earrings,not visible,"glamorous, bold",semi-formal,"A fitted blue leopard print dress paired with a long, fuzzy blue coat, accessorized with earrings."
samantha_blue_pantsuit.png,Two-piece set (crop top and wide-leg pants),"Fitted top with high-waisted, wide-leg pants",Bright blue,Sequin,"Blue choker, white shoulder bag",Strappy heeled sandals,"Glamorous, disco-inspired","Semi-formal, party wear","Bright blue sequin two-piece set featuring a fitted V-neck crop top and high-waisted wide-leg pants, accessorized with a blue choker, white shoulder bag, and strappy heels."
samantha_blue_poker_dress.png,Sleeveless Dress,Fitted,Teal,Ribbed knit,Earrings,,Chic,Semi-formal,"A sleeveless fitted teal ribbed knit dress with a deep v-neck and a matching choker collar, accessorized with earrings."
samantha_blue_sequin_dress.png,Strapless Dress,Fitted,Blue,Sequins,"Beaded Necklace, Hoop Earrings, Clutch Bag",,Glamorous,Formal,"Woman wearing a fitted strapless blue sequin dress with a multi-beaded necklace, hoop earrings, and holding a clutch bag."
samantha_blue_top.png,"Blazer, Tank Top, Pencil Skirt",Form-fitting,"Beige (Blazer), Blue (Tank Top), Gray (Skirt)","Solid colors for blazer and tank top, textured skirt","Headband, Earrings, Zebra Patterned Handbag",Heels,Business Casual,Semi-formal,"A woman wearing a beige blazer over a blue tank top paired with a gray pencil skirt, accessorized with a headband, earrings, a zebra-patterned handbag, and black heels."
samantha_chanel_scarf.png,Headscarf,Loose,Black and White,Checkerboard with logo print,Gold hoop earrings,Not visible,"Chic, branded",Casual/Daywear,"A black and white checkerboard patterned headscarf with Chanel logos, styled loosely over the head, paired with gold hoop earrings."
samantha_chanel_scarf2.png,Sleeveless Dress,Loose,Blue,Solid,"Large Gold Hoop Earrings, Headscarf",Not visible,"Chic, Elegant",Semi-formal,Woman wearing a loose blue sleeveless dress paired with a black and white checkered headscarf with logo motifs and gold hoop earrings.
samantha_checkered_two_piece.png,Matching set (crop top and shorts),Fitted crop top with high-waisted shorts,Red and White,Gingham checkered,Hair scrunchies,Not visible,"Casual, vintage-inspired",Casual,"Red and white gingham crop top with puff sleeves paired with matching high-waisted shorts, accessorized with hair scrunchies for a casual, summery look."
samantha_dolls_jumpsuit.png,Jumpsuit,Fitted,Black,Graphic Print,"Wide belt, Bracelet",Strappy Heels,"Edgy, Rock-inspired","Casual, Night-out","Fitted black jumpsuit with graphic print and bold pink text, accessorized with a wide belt and bracelets, paired with strappy heels."
samantha_formal_outfit.png,Button-up blouse,Fitted,Off-white,"Solid, smooth",Chunky gold chain necklace,,"Classic, elegant",Business casual,"Off-white fitted button-up blouse with a wide collar, accessorized with a chunky gold chain necklace."
samantha_fur_coat.png,"Faux fur jacket, blouse, slim pants",Fitted,Beige,"Faux fur texture on jacket, sequin embellishment on pants","Gold handbag, hoop earrings, gloves",High-heeled boots,"Chic, sophisticated",Smart casual,"Beige faux fur jacket paired with a blouse and embellished slim pants, accessorized with gold handbag, gloves, and high-heeled boots."
samantha_gingham_coat.png,"Dress, Jacket, Hat","Fitted (dress), Cropped (jacket)","Turquoise (dress), Black and White (jacket), Red and White (hat)","Solid (dress), Houndstooth (jacket), Abstract print (hat)","White handbag, Red ring",,"Chic, Bold",Semi-formal,"A woman wearing a fitted turquoise dress with a plunging neckline, a cropped black and white houndstooth jacket, and a red and white abstract print hat, accessorized with a large white handbag and a red ring."
samantha_glittery_gold_skirt.png,Wrap top and sequin pencil skirt,Fitted,White and gold,Solid top with sequin texture on skirt,"Large hoop earrings, gold bangles, white handbag, wide belt",Not visible,"Glamorous, chic",Semi-formal,"Woman wearing a fitted white wrap top paired with a gold sequin pencil skirt, accessorized with large gold hoop earrings, gold bangles, and a white handbag, exuding a glamorous and chic style."
samantha_glittery_nude_dress.png,Dress,Straight,Nude/Beige,Sequin Embellishments,"Large Hoop Earrings, Bracelet",,"Glamorous, Party",Semi-Formal,"A sleeveless, nude/beige mini dress adorned with silver sequins, featuring a straight silhouette and accessorized with large hoop earrings and a bracelet."
samantha_gold_dress.png,Jacket and Mini Skirt,Fitted,Beige,"Solid, Smooth",,High Heels,"Chic, Sophisticated",Semi-formal,Woman wearing a fitted beige jacket paired with a matching mini skirt and beige and black high heels.
samantha_gold_outfit.png,"Blazer, Top, Skirt",Fitted,"Gold, Red","Solid, Satin",Earrings,High Heels,"Chic, Elegant",Formal,"A chic and elegant outfit featuring a gold satin fitted blazer and knee-length skirt with a front slit, paired with a deep red ruched top and beige high heels with embellishments, accessorized with statement earrings."
samantha_green_top.png,Blouse and Pencil Skirt,Fitted,"Green (Blouse), White (Skirt)","Solid, Satin-like","Black Belt, Large Yellow Tote Bag",,"Chic, Sophisticated",Business Casual,"Woman wearing a fitted green satin blouse with a black belt and a white pencil skirt, accessorized with a large yellow tote bag and holding two champagne bottles."
samantha_leopard_coat.png,Coat,Straight,Brown,Leopard print,Black gloves,Not visible,Vintage Glam,Semi-formal,"Leopard print coat with black gloves, straight silhouette, worn over dark stockings."
samantha_leopard_dress.png,Long-sleeve dress,Fitted,Beige with brown spots,Animal print (leopard),"Sunglasses, gold hoop earrings, beige clutch, ring",,Chic,Semi-formal,"Fitted long-sleeve leopard print dress paired with gold hoop earrings, sunglasses on the head, a beige clutch, and rings."
samantha_leopard_dress2.png,Long-sleeve dress,Fitted,Beige,Leopard print,"Sunglasses, gold hoop earrings, clutch, rings",,"Chic, trendy",Smart casual,"Fitted beige long-sleeve dress with leopard print, accessorized with sunglasses, gold hoop earrings, clutch, and rings."
